,Time1,DAU1,Time2,DAU2,Time3,DAU3,Time4,DAU4,Time5,DAU5,Time6,DAU6,Time7,DAU7,Time8,DAU8,Time9,DAU9,Time10,DAU10,Time11,DAU11,Time12,DAU12,Time13,DAU13,Time14,smbi,Time15,label
46,-2.399999999,-0.000305176,-2.399999999,0.001220703,-2.399999999,0.000305176,-2.399999999,-0.000915527,-2.399999999,0.000305176,-2.399999999,0.001831055,-2.399999999,-0.001220703,-2.399999999,0.002136231,-2.399999999,-0.002746582,-2.399999999,0.000915527,-2.399999999,-0.002136231,-2.399999999,0.001831055,-2.399999999,-0.000305176,-2.399999999,0.03191067,-1.399999999,0.027850006
47,-2.299999999,0.001831055,-2.299999999,0.003051758,-2.299999999,0.001831055,-2.299999999,0.000610352,-2.299999999,0.001831055,-2.299999999,0.003356934,-2.299999999,0.000610352,-2.299999999,0.003967285,-2.299999999,-0.000610352,-2.299999999,0.003051758,-2.299999999,0,-2.299999999,0.003967285,-2.299999999,0.002136231,-2.299999999,0.021478089,-1.299999999,0.025653673
48,-2.2,0.000305176,-2.2,0.002136231,-2.2,0.000305176,-2.2,0,-2.2,0.000305176,-2.2,0.002136231,-2.2,-0.001220703,-2.2,0.001220703,-2.2,-0.003051758,-2.2,0.000305176,-2.2,-0.001220703,-2.2,0.002441406,-2.2,-0.000305176,-2.2,0.017340811,-1.2,0.024338428
49,-2.099999999,0.002136231,-2.099999999,0.002441406,-2.099999999,0.002746582,-2.099999999,-0.002136231,-2.099999999,0.000915527,-2.099999999,0.003356934,-2.099999999,0.000915527,-2.099999999,0.003051758,-2.099999999,-0.001525879,-2.099999999,0.002441406,-2.099999999,0,-2.099999999,0.003356934,-2.099999999,0.001831055,-2.099999999,0.012271369,-1.1,0.021554705
50,-1.999999999,-0.000610352,-1.999999999,0.000915527,-1.999999999,0.000610352,-1.999999999,-0.000915527,-1.999999999,0.000305176,-1.999999999,0.000305176,-1.999999999,-0.000915527,-1.999999999,0.001220703,-1.999999999,-0.003051758,-1.999999999,0.001220703,-1.999999999,-0.001831055,-1.999999999,0.001831055,-1.999999999,0.000305176,-1.999999999,0.010905046,-0.999999999,0.033251453
51,-1.899999999,0.001831055,-1.899999999,0.003051758,-1.899999999,0.002136231,-1.899999999,0.002441406,-1.899999999,0.002136231,-1.899999999,0.003051758,-1.899999999,0.000305176,-1.899999999,0.004272461,-1.899999999,-0.000915527,-1.899999999,0.002441406,-1.899999999,-0.000610352,-1.899999999,0.003967285,-1.899999999,0.001525879,-1.899999999,0.013752617,-0.899999999,0.041806933
52,-1.8,0.000305176,-1.8,0.001525879,-1.8,0,-1.8,-0.000305176,-1.8,-0.000305176,-1.8,0.001525879,-1.8,-0.001831055,-1.8,0.001831055,-1.8,-0.003356934,-1.8,0.001220703,-1.8,-0.001525879,-1.8,0.001831055,-1.8,0,-1.8,0.020482076,-0.8,0.04817885
53,-1.699999999,0.002136231,-1.699999999,0.004577637,-1.699999999,0.003967285,-1.699999999,-0.002136231,-1.699999999,0.002746582,-1.699999999,0.004577637,-1.699999999,0.000610352,-1.699999999,0.005187988,-1.699999999,-0.000915527,-1.699999999,0.003662109,-1.699999999,0.000610352,-1.699999999,0.004577637,-1.699999999,0.003051758,-1.699999999,0.023533957,-0.699999999,0.046518832
54,-1.6,0,-1.6,0.000915527,-1.6,0,-1.6,-0.003051758,-1.6,-0.000305176,-1.6,0.001220703,-1.6,-0.001220703,-1.6,0.001831055,-1.6,-0.003051758,-1.6,0.001220703,-1.6,-0.001525879,-1.6,0.001831055,-1.6,0.000610352,-1.6,0.024210734,-0.599999999,0.041385543
55,-1.5,0.000915527,-1.5,0.002441406,-1.5,0.002441406,-1.5,-0.00579834,-1.5,0.002136231,-1.5,0.002136231,-1.5,0.000305176,-1.5,0.002441406,-1.5,-0.002441406,-1.5,0.001525879,-1.5,-0.000305176,-1.5,0.003051758,-1.5,0.000915527,-1.5,0.029471718,-0.499999999,0.02962495
